Province_State,Country_Region,Lat,Long_,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20
Alabama,US,32.31823,-86.902298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,22,29,39,52,78,106,125,157,196,242,386,531,627,702,827,935,993,1108,1261,1515,1633,1841,2006,2197,2499,2838,3008,3262,3583,3803,3953,4241,4404,4572,4723,4903,5078,5327,5592,5832,6026,6213,6418,6539,6750,6904,7068,7294,7611,7888,8112,8437,8691,9046,9375,9668,9889,10164,10464,10700,11101,11373,11674,11771,12086,12376,12744,13288,13670,14117,14478,14986,15650,16032,16530,17031,17649,17903,18447,18734,18867,19092,19412,20079,20544,20976,21481,22057,22927,23806,24712,25743,26411,27062,27469,28378,29187,29743,30223,30663,31317,32300,33461,34454,35369,35733,37496,38380,39312,40480,42263,43277,44386,45326,46248,47445,49694,51050,52513,54180,56170,57908,59750,61805,63841,66020,67826,69737,71228,72707,75146,76969,79129,80312,82163,83435,84875,86888,88882,90535,92665,93902,94960,95928,97898,99635,101538,102718,104432,105277,106228,107012,107776,109068,109935,110515,111895,113031,114018,114344,116135,116672,118349,118890,120935,122733,123914,125646,127014,127851,129435,130068,131131,132257,133690,134209,134879,135523,136347,137514,138671,139630,140757,141473,142186,143128,143809,144933,146256,147067,147899,148716,149294,150364,152857,153805,154547,155220,155800,156966,158026,158996,160706,161508,162061,162838,163795,164361,165876,166955,167785,168531,169667,170464,171669,172901,174210,175191,176050,177093,178239,179629,180916,183276,184355,185322,186437,187706,189149,190496,192285,193985,194892,195929,197777,199158,200714,202482,203687,204857,206567,208637,210637,213617,215843,217822,219232,220848,223486,225910,228373,230708,232506,234080,236865,239318,241957,242874,244993,247229,249524,252900,256828,260359
Alaska,US,66.160507,-153.369141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6,9,12,14,22,32,36,42,59,69,85,102,114,119,133,143,151,171,185,191,213,226,235,246,257,272,277,285,293,300,309,314,319,321,329,335,337,339,339,341,345,351,355,355,364,365,368,370,371,372,374,377,378,379,381,383,383,387,388,392,396,399,399,402,402,404,408,408,409,411,412,425,430,434,460,467,487,505,513,524,536,544,563,573,593,610,625,654,661,664,676,696,708,722,743,755,761,778,792,816,836,854,883,904,940,978,1017,1063,1111,1138,1166,1184,1226,1272,1323,1385,1479,1539,1579,1631,1693,1733,1795,1874,1949,2041,2132,2192,2249,2338,2524,2622,2729,2797,2878,2990,3136,3280,3341,3394,3449,3484,3536,3613,3711,3775,3821,3881,3963,4073,4156,4259,4309,4371,4438,4520,4588,4677,4741,4810,4843,4895,4975,5092,5182,5226,5263,5298,5364,5466,5586,5679,5765,5798,5833,5896,6020,6113,6216,6278,6353,6395,6444,6549,6658,6743,6836,6906,6950,7004,7132,7254,7367,7481,7597,7721,7824,7948,8074,8217,8405,8613,8752,8878,9005,9182,9431,9686,9877,10028,10171,10323,10549,10760,10980,11182,11393,11605,11837,12118,12489,13012,13360,13742,14097,14456,14837,15274,15622,15972,16360,16764,17072,17597,18198,18716,19187,19712,207,20688,21275,22014,22662,23240,23874,24419,24909,25369,26044,26587,27085,27669,28339,28892,29554,30204,30816,31323,31834,32531,33291
Arizona,US,34.048927,-111.093735,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,6,9,9,9,12,13,18,20,27,45,78,108,152,234,326,401,508,665,773,919,1157,1289,1413,1598,1769,2019,2269,2456,2575,2726,3018,3112,3393,3539,3702,3806,3962,4234,4507,4719,4929,5064,5251,5459,5769,6045,6280,6526,6716,6948,7202,7648,7962,8364,8640,8919,9305,9707,9945,10526,10960,11119,11380,11736,12176,12674,13169,13631,13937,14170,14566,14897,15315,15608,16039,16339,16561,16783,17262,17763,18465,19255,19936,20123,21250,22223,22753,24332,25451,26889,27678,28296,29852,31264,32918,34458,35691,36705,39097,40924,43443,46689,49798,52390,54586,58179,59974,63030,66458,70051,73908,76987,79215,84092,87425,91858,94553,98089,101441,105094,108614,112671,116892,119930,122467,123824,128097,131354,134613,138523,141265,143624,145183,148683,150609,152944,156301,160041,162014,163827,165934,168273,170798,174010,177002,178467,179497,180505,182203,183647,185053,186107,186923,187523,188737,189443,190794,191721,192654,193537,194005,194920,195557,196280,196899,197895,198103,198414,199273,199459,200139,200658,201287,201661,201835,202342,202861,203953,204681,205516,205766,205964,206045,206541,207002,207523,208128,208512,208725,209209,209907,211660,212942,213551,214018,214251,214846,215285,215852,216367,216826,217237,217510,218184,218507,219212,219763,220399,220754,221070,221934,222538,223401,224084,224978,225575,226050,226734,227635,228748,229486,230407,231149,231897,232937,233912,234906,235882,236772,238163,238964,240122,241165,242480,244045,245946,247473,248139,249818,250633,252768,254764,257384,259264,259699,263133,265163,266562,269577,273053,275436,276912,279896,283102,287225,291696,295334,299665,302324,306868,310850,314326,318638,322774,325995,331156,337139,340979,346421
Arkansas,US,34.799999,-92.199997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,12,16,22,22,33,62,97,119,167,200,236,285,341,388,416,433,516,531,593,694,750,755,850,941,960,1093,1163,1220,1246,1299,1497,1520,1623,1644,1725,1765,1808,2001,20,2428,2638,2852,2953,3046,3115,3174,3255,3330,3371,3423,3483,3510,3549,3666,3750,3804,3804,4073,4104,4227,4300,4432,4531,4648,4832,4887,4999,5080,5542,5698,5864,6013,6122,6275,6374,6639,6882,7122,7366,7559,7940,8193,8557,8787,9244,9574,9893,10238,10531,10986,11729,12286,12698,13121,13399,13821,14148,14862,15381,15807,16337,16941,17649,18347,19036,19615,20131,20577,21105,21532,22424,22980,23576,24191,24637,24900,25646,26465,27228,28306,28817,29398,30205,30778,31608,32266,33049,33755,34465,35204,35804,36833,37839,38583,39235,40072,40818,41617,42420,43184,43856,44503,45302,46098,47024,47771,48798,49582,50163,50818,51207,51921,51948,51948,52812,53496,53915,54331,55072,55630,56531,57087,57468,57793,58281,58940,59673,60524,61332,61818,62192,62469,63094,64078,65189,65712,66410,66766,67065,67456,67860,68983,69710,70219,70627,71357,72219,73211,74082,75160,75723,76364,76981,77963,79049,79946,80755,81242,82049,82755,83697,84821,85779,86525,87013,87430,88071,88880,90145,91312,92220,92833,93487,94167,95246,96524,97539,98422,99066,99597,100441,101596,102798,104135,105318,106115,106727,107679,108640,109712,110874,112190,113057,113641,114519,115812,117360,119230,120828,121866,122811,124235,126197,128006,130318,132166,133040,134348,135902,137617,139855,141916,143821,145173,146190,148312,150277,152625,153677,155026,156247,157359,159309,161521,164310
California,US,36.778259,-119.417931,0,0,0,0,2,2,2,2,2,3,3,3,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,10,10,10,10,10,10,11,11,12,12,21,25,35,51,59,81,95,101,144,178,237,282,359,426,559,710,852,1014,1213,1398,1764,2144,2579,3013,4034,4813,5574,6232,7281,8542,9851,10886,12321,13709,15103,16089,17536,18912,20058,21165,22270,23278,24244,25647,26955,27754,29302,30852,31567,33833,35799,37506,39459,40990,42536,43731,45202,46364,48776,50347,52000,53839,55097,56332,58879,60766,62520,64385,66976,68211,69503,71246,73222,75110,77153,79027,80614,82066,84168,86258,88584,90981,92936,94895,97287,100208,101995,104247,107207,110360,113073,115619,118474,120782,123341,126957,129507,132282,134571,137629,140539,144129,147772,150921,153547,156278,159733,163930,167733,171357,175739,179344,184896,191427,196415,201879,207522,211766,217029,223955,231894,239655,249094,257610,265965,271992,278883,287514,296075,303323,312104,319985,327687,336037,345598,355285,364554,374162,382968,391084,399898,410176,422313,432789,443811,454796,461245,468875,476869,485857,494036,501917,509303,515701,522046,527210,532771,541280,549194,556233,563073,573830,585797,594905,602791,613121,621748,628269,635214,640573,647366,653443,659992,665151,670256,676447,682331,687757,693055,698473,702341,706167,712661,716969,722127,726715,731792,736427,739506,741850,745271,748390,752158,756125,759600,762433,766207,769037,772412,775981,780396,784109,786894,791145,794068,797302,800580,804661,808067,810588,813755,816788,820027,823204,827210,830346,833379,836511,839249,842718,846337,850125,853239,855966,858960,862723,866160,869180,872298,874749,877978,882471,887458,891105,895607,901683,905186,907964,911823,916737,920805,925055,929944,933311,936915,942195,947404,952664,958878,965523,970737,975847,983458,991810,997898,1007056,1017123,1024870,1033687,1044896,1055473,1067308,1080328,1094083,1107361,1116056,1133949,1150665,1164574,1174707,1190665,1203643,1217741,1234232,1251125,1269389,1291214
Colorado,US,39.113014,-105.358887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,12,17,34,49,77,101,131,160,183,221,278,363,476,591,720,912,1086,1430,1734,2061,2307,2627,2966,3342,3728,4173,4565,4950,5172,5429,5655,6202,6510,6893,7303,7684,7941,8280,8675,9047,9433,9730,10106,10447,10878,11262,12256,12968,13441,13879,14316,14758,15284,15768,16225,16635,16907,17364,17830,18371,18827,19375,19703,19879,20157,20475,20838,21232,21633,21938,22202,22482,22797,23191,23487,23964,24174,24269,24565,24767,25121,25613,26098,26378,26577,26788,27060,27360,27615,27848,28001,28183,28347,28499,28647,28822,29017,29130,29299,29442,29673,29901,30187,30349,30539,30705,30893,31155,31479,31796,32022,32307,32511,32715,33029,33352,33612,33866,34065,34257,34664,35116,35525,36191,36591,36913,37242,37686,38155,38726,39344,39788,40142,40566,41059,41698,42314,42980,43789,44336,44565,45314,45796,46204,46809,47267,47716,47968,48394,48988,49436,49893,50324,50660,51039,51441,51756,52219,52538,52838,53176,53370,53631,53901,54230,54586,54883,55143,55341,55800,55994,56343,56773,57041,57223,57424,57775,58019,58287,58655,58989,59274,59487,59674,59920,60185,60492,60907,61324,61699,62099,62686,63145,63750,64356,64857,65399,66053,66669,67217,67926,68510,69079,69490,70025,70536,71218,71898,72555,73076,73537,74191,74922,75785,76619,77642,78461,79037,80085,80777,81918,83230,84369,85302,86374,87582,88849,90222,91572,93400,95089,97300,98733,100208,102014,104426,107350,109910,112147,114709,117637,121006,124469,127967,130984,134537,138427,142402,147599,154038,159234,163417,167713,172044,176694,182801,188566,194679,198600,202289,206439,210630,216683,220953,225283,228772,232905,237310,241172,247209
Connecticut,US,41.599998,-72.699997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,11,23,26,41,68,96,159,194,194,223,415,618,875,1012,1291,1524,1993,2571,3128,3561,3830,4930,5295,5698,6940,7823,8832,9844,10605,11586,12116,13474,14087,14860,15999,16932,17680,18096,19965,20515,22643,23280,24108,24775,25468,26202,26520,26979,27920,28993,29521,29521,30415,30867,31244,32040,32673,33251,33826,34039,34612,35139,35753,36379,37002,37724,38427,38744,39336,39529,39965,40350,40800,41209,41643,41628,41901,42106,42368,42549,43093,43334,43447,43596,43819,44180,44331,44456,44544,44713,44828,45058,45366,45461,45609,45724,45805,45887,45934,46093,46133,46160,46278,46292,46374,46440,46588,46686,46746,46898,46956,47030,47101,47101,47101,47360,47417,47492,47593,47671,47671,47671,47894,47914,48020,48134,48277,48277,48277,48439,48480,48607,48616,49160,49160,49160,49367,49461,49540,49670,49810,49810,49810,50062,50110,50225,50245,50320,50320,50320,50567,50684,50706,50782,50897,50897,50897,51215,51255,51314,51432,51519,51519,51519,52011,52040,52220,52350,52495,52495,52495,52879,53006,53108,53209,53365,53365,53365,53365,53782,53871,54093,54326,54326,54326,54895,55031,55166,55386,55527,55527,55527,56024,56160,56315,56472,56587,56587,56587,57147,57329,57550,57742,58297,58297,58297,59120,59241,59364,59748,60038,60038,60038,61377,61697,61861,62028,62830,62830,62830,64021,64455,64871,65373,66052,66052,66052,68099,68637,69127,70446,71207,71207,71207,73858,74843,75373,77060,78125,78125,78125,81463,82987,84741,85899,88645,88645,88645,93284,94986,97028,99381,101469,101469,101469,106740,107280,109152,109152,112581,112581,112581,117295,118754,121426,126177
Delaware,US,39,-75.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,6,7,8,16,26,31,38,40,56,68,104,119,130,165,214,232,264,319,368,393,450,593,673,783,928,1116,1209,1326,1479,1625,1761,1926,2014,2075,2323,2538,2538,2745,2931,3200,3308,3442,3576,4034,4162,4575,4655,4734,4918,5038,5208,5288,5371,5778,5939,6111,6277,6447,6565,6741,6952,7223,7373,7547,7670,7869,8037,8194,8386,8529,8690,8809,8965,9066,9096,9171,9236,9422,9498,9605,9685,9712,9746,9773,9845,9942,9972,10020,10056,10106,10173,10229,10264,10340,10403,10444,10499,10611,10681,10775,10820,10847,10889,10980,11017,11091,11226,11376,11474,11510,11731,11923,11996,12128,12293,12414,12462,12531,12652,12743,12804,12879,12969,13050,13114,13337,13429,13519,13624,13746,13792,13924,14171,14175,14290,14406,14476,14602,14689,14788,14877,14949,15055,15137,15296,15365,15445,15502,15575,15634,15699,15765,15967,16340,16396,16451,16536,16593,16643,16718,16770,16828,16895,16942,16962,16969,16976,17137,17234,17343,17429,17535,17549,17653,17752,17892,18043,18249,18308,18308,18466,18559,18726,18849,18937,19137,19234,19318,19366,19449,19566,19667,19761,19830,19947,20085,20156,20260,20389,20531,20613,20787,20937,21125,21243,21363,21466,21550,21682,21827,21998,22130,22289,22394,22465,22560,22724,22942,23093,23196,23325,23375,23528,23687,23847,23961,24168,24249,24392,24553,24751,24951,25126,25311,25426,25534,25753,26035,26258,26603,26908,27112,27342,27546,28016,28395,28803,29200,29552,29755,30153,30816,31321,31808,32211,32664,32995,33579,34170,34670,35251,35654,36343,36698,37456
Florida,US,27.994402,-81.760254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,7,10,13,15,24,35,50,76,115,160,217,328,417,563,659,1007,1227,1467,1977,2484,3198,4038,4950,5704,6741,7779,9022,10290,11575,12385,13672,14797,15754,16889,18038,19062,19977,21108,21721,22617,23443,24865,25609,26436,27185,28001,28712,29791,30681,30989,31682,32296,33008,33357,33857,34901,35641,36260,37084,37629,38195,39026,39399,40206,40805,41193,42140,42622,43435,44369,45046,45828,46687,47192,47722,48933,49714,50394,51139,52023,52535,52916,53571,54790,55723,56467,57138,57759,59084,60512,61825,63103,64290,65262,66365,67744,69452,71366,74007,75991,77760,80560,83186,86413,90259,94333,97849,100793,104099,109644,114679,123676,133320,141903,147201,153332,159935,170106,179652,191181,201302,207677,215069,225119,234109,245612,256036,271430,284132,293383,303627,317678,329215,339607,352162,362573,372071,381916,392228,404749,417023,426425,435372,444659,454163,464180,473242,482943,490091,494872,500352,505794,513491,521224,529778,536045,540226,546093,554252,560526,566712,573103,576905,579599,583461,587601,592184,596897,601235,604227,606499,609188,612428,615717,619555,622772,625371,627267,631040,633442,637013,640211,643867,646431,648269,650092,652148,654731,658381,661571,663994,665730,668846,671201,674456,677660,681233,683754,685439,687909,690499,693040,695887,698682,700564,701302,704568,706516,709144,711804,714591,716459,717874,720125,722707,726013,728921,732621,734491,736024,738749,741632,744988,748437,752481,755020,756727,760389,762534,768091,771780,776251,778636,782013,786311,790426,794624,800216,802547,807412,812063,816700,821123,827380,832625,837077,843897,847821,852174,858012,863619,870552,875096,885201,889864,897323,905248,914333,923418,931827,938414,944745,953300,961676,972346,979020,985297,992660,999319,1008166,1018160,1029030
Georgia,US,33.247875,-83.441162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5,10,17,23,9,14,21,35,54,62,78,91,115,138,169,235,262,287,346,398,441,503,576,629,689,742,789,865,935,986,1069,1154,1242,1336,1427,1621,1650,1695,1809,1912,2071,2213,2356,2470,2567,2721,2942,3185,3446,3602,3816,4181,4644,5136,5730,6228,6663,7234,7851,8579,9365,10088,10790,11271,11799,12494,12917,13435,14240,14969,15668,16372,17029,17670,18200,19005,19845,20573,21315,21960,22464,22947,23531,24190,24850,25208,25508,25870,26273,26980,27501,27886,28224,28523,28869,29316,29795,30172,30471,30693,30882,31296,31675,32031,32467,32920,33227,33469,33763,34123,34616,35033,35549,35861,36303,36716,37210,37624,37624,38136,38569,39133,39589,40163,40767,41571,42281,42772,43170,43742,44347,45013,45470,46204,47107,47457,47961,48721,49488,50291,51153,51803,52281,52947,53692,54463,55188,55947,56560,57162,57779,58640,59185,60101,60898,61516,61839,62303,62993,63723,64413,65152,65716,66061,66618,67308,68133,68867,69584,70298,70707,71236,72390,73240,74257,75189,75864,76355,77085,78123,78966,79880,80587,81225,81608,81868,82249,82716,83588,84311,84949,85351,85813,86722,87807,88721,90017,90942,91422,92100,93012,94189,95659,96734,97638,98447,99134,100200,101366,102787,103826,104799,105740,106651,107922,109312,110828,112268,113439,114574,115943,117106,119396,121090,122812,124439,125531,126591,128152,129863,132122,133802,135372,137536,139444,142311,145465,148472,150672,153620,157096,160923,164865,170307,174954,180862,184788,189681,194570,201795,207339,216028,223581,231018,236949,242043,249906,256700,262952,270157,276500,282916,289303,295001,299503,304023,312969,318763,322312,327477,333626
