Province_State,Country_Region,Lat,Long_,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20
Alabama,US,32.31823,-86.902298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,9,11,23,28,32,38,44,45,52,64,67,78,80,93,93,103,114,123,137,144,147,160,164,186,197,201,209,213,219,228,242,255,272,289,289,290,298,315,343,369,383,390,393,403,435,450,473,483,485,488,489,504,517,529,541,549,551,566,580,583,591,610,620,631,646,653,653,653,676,689,692,718,729,744,755,769,773,773,774,785,790,810,822,838,839,841,864,891,896,907,919,919,929,950,972,985,1006,1007,1007,1007,1033,1058,1068,1104,1114,1121,1124,1164,1211,1230,1265,1286,1287,1291,1303,1364,1397,1438,1456,1473,1491,1491,1538,1565,1580,1603,1627,1633,1666,1695,1714,1735,1755,1768,1797,1847,1882,1890,1894,1896,1898,1925,1936,1944,1974,1990,2011,2013,2024,2037,2045,2076,2107,2152,2162,2182,2200,2217,2233,2257,2275,2276,2276,2277,2285,2301,2333,2350,2351,2355,2387,2392,2401,2428,2437,2437,2439,2457,2488,2488,2491,2501,2501,2501,2517,2540,2548,2550,2558,2558,2559,2580,2601,2637,2653,2664,2664,2665,2665,2706,2756,2786,2788,2788,2789,2805,2828,2843,2859,2866,2866,2866,2892,2911,2914,2932,2967,2973,2973,2987,3006,3026,3049,3082,3084,3084,3120,3201,3213,3231,3246,3248,3249,3301,3347,3419,3451,3457,3457,3459,3472,3532,3572,3572,3572,3577,3578,3638,3711,3776
Alaska,US,66.160507,-153.369141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,5,6,6,6,7,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,15,16,16,16,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,19,19,19,20,20,21,22,22,23,23,24,24,25,25,25,25,25,26,26,26,26,27,27,27,28,28,28,29,29,29,30,31,32,32,36,37,37,37,37,37,37,39,39,40,40,42,42,42,42,42,42,43,44,44,44,44,44,44,45,45,45,45,45,45,46,51,52,56,56,56,56,57,57,58,58,58,58,59,60,60,60,60,60,60,64,65,66,67,67,67,67,68,68,68,68,68,68,70,71,77,81,82,83,84,84,84,84,84,84,84,84,92,96,96,97,98,98,98,99,100,100,100,101,102,102,115,115,118,118,120,120,120,121,121,129
Arizona,US,34.048927,-111.093735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,6,8,13,15,17,20,24,29,32,41,52,64,65,73,80,89,97,108,115,122,131,142,150,169,177,184,187,208,229,249,266,273,275,275,293,304,320,330,348,362,362,395,426,450,517,532,536,542,562,594,624,651,679,680,686,704,747,763,775,799,800,806,807,831,857,885,903,906,917,941,981,996,1012,1042,1044,1047,1070,1095,1127,1144,1183,1186,1194,1219,1239,1271,1312,1338,1339,1342,1384,1463,1490,1535,1579,1588,1588,1632,1720,1757,1788,1805,1809,1810,1927,1963,2038,2082,2151,2237,2245,2337,2434,2492,2583,2730,2761,2784,2918,2974,3063,3142,3286,3304,3304,3408,3454,3626,3694,3747,3765,3779,3845,3932,4002,4081,4137,4150,4154,4199,4347,4383,4423,4492,4506,4506,4529,4634,4684,4688,4756,4771,4771,4792,4896,4929,4978,5007,5030,5030,5044,5065,5130,5171,5207,5219,5219,5221,5251,5273,5288,5315,5322,5322,5344,5371,5409,5451,5467,5476,5478,5498,5525,5559,5587,5622,5622,5623,5632,5650,5674,5693,5705,5706,5707,5713,5733,5743,5746,5759,5759,5759,5767,5772,5789,5806,5824,5827,5830,5837,5854,5859,5865,5869,5874,5875,5891,5905,5918,5934,5979,5981,5982,6020,6059,6087,6109,6147,6164,6164,6192,6228,6240,6257,6300,6302,6302,6312,6365,6384,6427,6457,6464,6464,6515,6524,6568,6588,6624,6634,6639,6687,6739,6821
Arkansas,US,34.799999,-92.199997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,6,7,8,10,12,12,14,16,16,18,18,21,24,25,27,30,32,34,37,37,38,39,42,42,44,45,47,48,50,51,58,60,62,65,74,79,84,86,92,93,93,93,96,99,100,102,103,103,103,103,105,107,113,116,119,121,122,123,125,126,132,140,141,141,141,144,151,161,162,164,164,165,172,177,184,190,191,193,196,203,213,226,233,245,246,248,260,263,263,273,285,291,292,298,306,308,310,316,317,323,333,338,343,348,355,357,359,368,373,380,394,399,399,406,419,426,433,442,448,450,458,481,488,497,510,518,523,536,553,574,582,589,605,615,628,641,649,659,665,680,680,684,702,716,728,753,766,781,791,808,832,840,860,878,892,907,927,958,981,995,1005,1019,1035,1045,1058,1072,1087,1105,1119,1131,1148,1157,1166,1173,1181,1181,1197,1209,1229,1246,1266,1285,1308,1329,1350,1369,1384,1391,1407,1425,1447,1469,1482,1503,1530,1552,1569,1586,1611,1634,1645,1665,1684,1704,1714,1728,1751,1772,1782,1797,1812,1833,1857,1875,1894,1900,1925,1958,1985,2003,2026,2037,2056,2068,2085,2108,2112,2126,2144,2148,2159,2183,2225,2245,2275,2297,2321,2337,2357,2387,2405,2425,2436,2436,2449,2470,2502,2512,2522,2555
California,US,36.778259,-119.417931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,4,5,6,7,12,16,19,23,24,34,40,51,65,82,94,119,131,145,180,210,234,275,319,347,380,434,498,559,584,630,674,727,782,864,951,1041,1147,1175,1223,1298,1419,1523,1594,1686,1718,1776,1862,1939,2029,2111,2188,2212,2283,2376,2452,2535,2627,2691,2717,2778,2876,2966,3048,3153,3208,3289,3321,3425,3512,3619,3688,3759,3790,3809,3852,3955,4039,4137,4213,4240,4287,4360,4421,4484,4558,4624,4653,4676,4772,4870,4941,4988,5062,5089,5119,5205,5286,5362,5427,5494,5518,5566,5635,5732,5813,5877,5910,5942,5984,6089,6173,6272,6335,6364,6383,6460,6579,6730,6868,6971,7046,7072,7118,7257,7383,7511,7633,7725,7737,7794,7914,8070,8227,8362,8453,8480,8573,8742,8917,9031,9222,9359,9397,9506,9703,9872,10021,10209,10313,10380,10468,10650,10810,10996,11148,11225,11244,11343,11522,11686,11821,11987,12134,12152,12257,12407,12550,12691,12836,12903,12938,13020,13165,13323,13490,13643,13708,13730,13763,13835,13990,14090,14262,14333,14385,14462,14615,14721,14812,14912,14987,15018,15071,15195,15313,15402,15535,15586,15607,15641,15792,15900,15989,16075,16121,16147,16178,16262,16359,16428,16509,16575,16584,16593,16656,16760,16840,16905,16943,16979,17001,17063,17194,17265,17317,17345,17357,17400,17478,17541,17571,17627,17666,17670,17692,17749,17816,17864,17939,17963,17977,18005,18069,18107,18142,18221,18253,18265,18303,18357,18468,18564,18644,18710,18725,18767,18876,18980,19034,19099,19132,19152,19210,19323,19443,19588
Colorado,US,39.113014,-105.358887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,4,5,6,7,11,19,24,31,44,47,51,69,80,97,111,126,140,150,179,193,226,250,274,290,304,329,357,374,391,411,422,449,486,508,552,672,672,680,706,736,766,777,820,832,842,851,903,921,944,960,967,971,987,1009,1062,1091,1150,1192,1215,1224,1257,1299,1310,1324,1327,1332,1333,1352,1392,1421,1436,1443,1445,1458,1474,1494,1512,1524,1527,1527,1543,1553,1573,1583,1595,1598,1599,1605,1617,1631,1638,1643,1647,1647,1651,1665,1667,1669,1673,1674,1676,1682,1690,1697,1701,1701,1701,1701,1701,1701,1704,1706,1724,1725,1725,1727,1738,1744,1745,1751,1752,1752,1758,1763,1771,1786,1790,1794,1794,1799,1807,1822,1822,1838,1844,1844,1844,1849,1851,1852,1857,1857,1858,1863,1875,1875,1882,1888,1896,1896,1896,1899,1900,1903,1910,1918,1918,1919,1926,1928,1931,1937,1944,1944,1945,1946,1952,1955,1966,1971,1972,1973,1973,1977,1979,1985,1988,1988,1990,1996,2002,2006,2009,2013,2014,2018,2025,2030,2033,2037,2040,2041,2044,2046,2051,2054,2057,2060,2068,2069,2081,2085,2095,2103,2112,2113,2116,2153,2160,2162,2172,2176,2176,2180,2182,2194,2198,2211,2218,2223,2226,2236,2249,2268,2278,2285,2288,2292,2311,2333,2353,2376,2389,2394,2408,2427,2443,2468,2504,2525,2546,2578,2608,2651,2730,2745,2787,2806,2810,2860,2906,2957,2977,2983,3003,3037,3109,3193,3320
Connecticut,US,41.599998,-72.699997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,5,10,12,19,21,27,33,34,36,69,85,112,131,165,189,206,277,335,380,448,494,554,602,671,868,971,1036,1086,1127,1331,1423,1544,1639,1764,1862,1924,2012,2089,2168,2257,2339,2436,2495,2556,2633,2718,2797,2874,2932,2967,3008,3041,3125,3219,3285,3339,3408,3449,3472,3529,3582,3637,3675,3693,3742,3769,3803,3826,3868,3912,3944,3964,3972,3989,4007,4038,4055,4071,4084,4097,4120,4146,4159,4186,4201,4204,4210,4219,4226,4238,4251,4260,4263,4277,4287,4298,4307,4311,4316,4320,4322,4324,4326,4335,4335,4335,4338,4338,4343,4348,4348,4348,4348,4371,4372,4380,4389,4396,4396,4396,4406,4406,4406,4410,4413,4413,4413,4418,4423,4425,4431,4432,4432,4432,4437,4437,4437,4437,4441,4441,4441,4444,4444,4450,4450,4453,4453,4453,4456,4456,4457,4458,4460,4460,4460,4460,4463,4463,4465,4465,4465,4465,4465,4466,4467,4468,4468,4468,4468,4468,4474,4474,4478,4480,4480,4480,4485,4485,4487,4488,4492,4492,4492,4495,4496,4497,4499,4501,4501,4501,4503,4505,4508,4511,4513,4513,4513,4517,4521,4522,4527,4530,4530,4530,4532,4533,4537,4540,4542,4542,4542,4554,4559,4567,4569,4577,4577,4577,4589,4595,4604,4609,4616,4616,4616,4627,4634,4645,4656,4671,4671,4671,4698,4707,4716,4726,4737,4737,4737,4759,4771,4784,4805,4828,4828,4828,4871,4881,4926,4926,4961,4961,4961,5020,5040,5091,5111
Delaware,US,39,-75.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,6,10,11,12,14,14,14,15,16,19,23,32,33,35,41,43,46,52,61,67,67,72,82,89,92,100,112,120,125,137,144,152,159,168,177,182,187,193,202,213,221,224,225,237,247,260,271,286,290,297,304,310,317,322,324,326,332,335,344,345,356,361,366,368,373,375,386,388,390,398,398,410,413,414,414,419,422,423,424,426,431,433,434,435,435,504,505,507,507,507,507,507,509,509,510,512,512,512,512,514,515,517,517,517,517,517,518,521,521,521,523,523,523,525,527,529,578,579,579,579,580,581,581,585,585,585,585,587,587,587,588,590,591,591,591,592,593,593,593,593,593,593,595,595,600,600,600,604,603,604,604,604,604,604,605,605,606,606,606,608,609,609,609,609,613,613,613,615,617,618,619,619,620,621,621,627,628,629,630,631,633,633,634,635,636,636,642,645,645,645,646,649,651,651,653,654,656,659,660,661,662,664,665,666,668,670,670,678,680,681,685,686,688,689,704,708,710,710,712,712,716,716,716,718,719,722,724,732,734,736,736,736,739,742,742,746,746,748,752,757,760,761,763,763,770,772,777,779,779
Florida,US,27.994402,-81.760254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,4,5,6,8,9,11,12,13,18,20,23,29,46,56,60,71,85,101,144,170,195,221,254,296,323,371,419,446,461,499,571,614,668,726,748,774,823,867,927,987,1046,1055,1074,1088,1171,1218,1268,1314,1364,1379,1399,1471,1539,1600,1669,1716,1721,1735,1782,1829,1876,1918,1965,1973,1997,2052,2096,2145,2190,2233,2237,2252,2259,2320,2364,2413,2447,2452,2461,2531,2567,2610,2660,2691,2703,2715,2769,2803,2851,2881,2928,2934,2941,2996,3021,3064,3107,3147,3164,3176,3240,3285,3329,3366,3392,3419,3447,3505,3554,3618,3686,3703,3732,3778,3841,3890,4009,4102,4197,4242,4277,4409,4521,4677,4805,4898,4985,5075,5207,5347,5520,5653,5778,5855,5933,6119,6335,6587,6843,7022,7084,7157,7402,7627,7747,7927,8109,8186,8282,8558,8770,8917,9146,9351,9458,9541,9764,9938,10056,10177,10282,10333,10399,10585,10738,10873,10962,11110,11125,11189,11379,11503,11655,11755,11815,11854,11871,11919,12121,12326,12507,12604,12616,12649,12788,12944,13086,13230,13292,13303,13324,13421,13623,13795,13915,14023,14033,14043,14144,14317,14446,14557,14640,14678,14722,14791,14914,15072,15187,15275,15365,15413,15534,15598,15737,15837,15922,15970,16025,16110,16210,16273,16349,16427,16438,16457,16510,16574,16650,16720,16769,16796,16834,16880,16922,16964,17013,17100,17121,17179,17253,17301,17378,17450,17493,17523,17561,17647,17734,17813,17892,17946,18005,18090,18164,18255,18255,18363,18441,18500,18599,18681,18771,18874
Georgia,US,33.247875,-83.441162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,5,9,10,12,17,18,22,24,29,30,34,39,50,57,64,70,70,79,87,94,111,121,134,143,160,179,200,221,244,272,286,301,319,343,371,395,419,428,455,485,508,534,558,578,591,614,638,672,692,709,731,740,757,786,818,851,861,878,890,908,932,977,1006,1036,1050,1060,1082,1097,1126,1159,1181,1197,1208,1228,1267,1280,1305,1314,1329,1335,1344,1357,1376,1393,1404,1412,1416,1425,1432,1441,1446,1452,1460,1470,1476,1482,1495,1503,1503,1508,1511,1514,1523,1528,1533,1537,1540,1542,1548,1558,1566,1573,1578,1581,1585,1588,1592,1601,1606,1611,1614,1616,1620,1629,1634,1640,1646,1654,1656,1660,1670,1677,1681,1689,1698,1701,1707,1724,1731,1739,1745,1752,1758,1767,1784,1791,1799,1807,1813,1817,1825,1842,1855,1859,1863,1865,1866,1872,1882,1889,1899,1903,1909,1912,1914,1921,1936,1949,1958,1971,1974,1979,1985,1994,2002,2015,2017,2021,2031,2037,2040,2046,2056,2060,2067,2072,2089,2102,2112,2126,2133,2136,2140,2154,2160,2174,2184,2194,2197,2204,2233,2252,2265,2270,2287,2292,2299,2334,2354,2367,2381,2402,2406,2421,2440,2472,2491,2511,2529,2538,2553,2584,2609,2645,2679,2710,2729,2752,2810,2849,2895,2930,2961,2973,2999,3066,3138,3206,3257,3297,3321,3359,3434,3434,3535,3580,3637,3652,3674,3751,3843
