Province_State,Country_Region,Lat,Long_,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20
Alabama,US,32.31823,-86.902298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,7951,7951,7951,7951,7951,9355,9355,9355,9355,9355,9355,9355,9355,11395,11395,11395,11395,11395,11395,13508,13508,13508,13508,13508,13508,13508,15974,15974,15974,15974,15974,15974,15974,18866,18866,18866,18866,18866,18866,18866,18866,22082,22082,22082,22082,22082,22082,22082,25783,25783,25783,25783,25783,25783,29736,29736,29736,29736,29736,29736,29736,32510,32510,32510,32510,32510,32510,32510,35401,35401,35401,35401,35401,35401,35401,37923,37923,37923,37923,37923,37923,37923,41523,41523,41523,41523,41523,41523,41523,44684,44684,44684,44684,44684,44684,44684,48028,48028,48028,48028,48028,48028,48028,51154,51154,51154,51154,51154,51154,51154,54223,54223,54223,54223,54223,54223,54223,61232,61232,61232,61232,61232,61232,61232,64583,64583,64583,64583,64583,64583,64583,67948,67948,67948,67948,67948,67948,67948,67948,71240,71240,71240,71240,71240,71240,74238,74238,74238,74238,74238,74238,74238,74439,74439,74439,74439,74439,74439,74439,81005,81005,81005,81005,81005,81005,81005,84471,84471,84471,84471,84471,84471,84471,84471,88038,88038,88038,88038,88038,88038,88038,90702,90702,90702,90702,90702,90702,161946,161946,161946,161946,161946,161946,161946,168387,168387
Alaska,US,66.160507,-153.369141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,29,32,49,55,63,66,85,98,106,110,128,147,153,161,168,196,209,209,217,217,218,228,240,252,254,261,262,263,277,286,291,305,305,324,328,334,334,339,343,343,344,345,348,352,356,356,358,358,358,362,364,366,366,368,368,368,371,371,376,380,380,382,384,389,392,397,403,403,411,417,429,438,438,457,464,475,491,502,507,513,519,521,521,525,526,528,535,539,544,548,552,560,563,571,588,598,615,620,642,669,688,697,708,712,712,737,753,798,800,815,817,817,836,854,885,898,930,932,946,987,1017,1062,1062,1062,1077,1077,1153,1180,1181,1192,1204,1237,1250,1285,1316,1328,1416,1501,1559,1674,1779,1899,1919,1993,2010,2039,2044,2051,2085,2090,2096,2119,2121,2121,2137,2137,2148,2152,2168,2168,2168,2193,2198,2199,2213,2226,2226,2227,2415,2477,2477,2778,2965,3173,3393,3865,4057,4310,4488,4626,4704,4856,4965,5003,5048,5110,5136,5164,5177,5284,5324,5439,5605,5813,5853,5880,6042,6110,6170,6270,6293,6300,6302,6370,6422,6447,6449,6452,6457,6463,6465,6475,6476,6476,6508,6512,6512,6512,6511,6512,6512,6513,6515,6516,6516,6516,6516,7165,7165,7165,7165,7165,7165,7165,7165,7165,7165,7165,7165,7165,7165
Arizona,US,34.048927,-111.093735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,20,20,20,20,20,20,20,40,40,40,70,70,70,70,70,70,1155,1155,1155,1155,1155,1383,1383,1418,1475,1475,1499,1523,1547,1571,1632,1693,1754,1815,1876,1937,2775,2852,2929,3006,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3320,3586,3872,4182,4517,4878,5268,5690,5764,5764,5764,5764,5764,5764,5764,5764,5851,5980,5980,5980,6333,6462,6598,6715,6863,6863,7196,7387,7581,7746,7936,8139,8389,8659,8926,9179,9411,9715,10137,10478,10903,11219,11836,12260,12803,13341,13853,14394,14829,15254,15678,16155,16684,17184,17661,18149,18518,18863,19293,19737,20171,20566,20978,21321,21626,21994,22358,22714,23064,23064,23064,23944,24222,24531,24815,25163,25527,25848,26102,26418,26736,27029,27339,27582,27800,28027,28233,28471,28731,28932,29147,29341,29526,29734,29939,30123,30331,30539,30682,30841,31021,31201,31384,31548,31721,31866,32003,32151,32310,32472,32628,32817,32975,33095,33250,33381,33526,33668,33835,33946,34053,34227,34393,34564,34730,34872,34998,34998,35261,35411,35553,35696,35838,35838,36167,36336,36534,36723,36920,37110,37287,37403,37586,37782,37994,38193,38384,38553,38705,38883,39089,39306,39525,39742,39920,40169,40426,40697,40906,41159,41159,41589,41776,42039,42317,42652,42950,43232,43460,43682,43682,44363,44675,45036,45400,45737,46103,46521,46951,47383,47890,48380,48807,49234,49810,50352,50892,51333,51911,52438,53026,53694,54342
Arkansas,US,34.799999,-92.199997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,13,19,26,28,32,35,42,50,75,79,97,139,152,237,305,329,346,367,427,444,509,548,593,703,721,797,799,893,922,964,985,987,1053,1216,1279,1339,1985,1987,1999,2016,2050,2123,2159,2968,2968,3112,3149,3220,3277,3277,3390,3472,3590,3645,3645,3852,3852,4029,4096,4148,4249,4332,4424,4583,4946,5166,5275,5275,5567,5717,5919,6077,6077,6424,6630,6875,7116,7351,7607,7863,8110,8352,8665,8996,9376,9712,10082,10456,10793,11220,11568,12127,12784,13270,13636,14066,14531,15163,15698,16164,16726,17133,17834,17834,19396,19992,20642,21190,21591,22106,22844,23523,24195,24776,25292,25292,26397,27283,27990,28864,29827,31083,31622,32365,33188,33938,34737,35413,36034,36576,37240,38000,38848,39555,40360,40977,41452,42139,42998,42998,44602,45446,45446,45572,46133,46970,47666,48458,49135,49764,50251,50689,50689,51901,52665,53331,54133,54408,54961,55647,56261,56889,57547,57968,58295,58757,59260,59920,60668,61245,62622,63063,63601,64342,65147,65941,66747,67418,67853,68456,69184,69952,70737,71426,72051,72602,73573,74440,75312,76186,77050,77772,78358,79052,79885,80703,81563,82305,82924,83454,84055,84804,85597,86447,87256,87920,88450,89217,90283,91317,92288,93215,93977,94528,95314,96322,97450,98340,99165,100067,100666,101507,102666,103762,104816,105746,106594,107287,108201,109235,110365,111357,112383,113440,114312,115625,117068,118751,120545,122219,123722,125153,127059,128831,130818,132580,134312,135614,136872,138696,140682,142600,144624
California,US,36.778259,-119.417931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,6,6,6,6,6,6,6,6,8,8,12,18,21,21,60,850,850,850,850,900,900,900,900,940,940,940,940,940,940,940,1350,1350,1350,1350,1350,1350,3337,3337,3337,3337,3337,3337,3337,3337,3337,3337,3337,3908,3908,7548,8108,9204,9727,9988,10352,10980,11128,11688,12106,12595,12914,13051,13106,14747,15021,15202,16106,17010,17130,17258,18466,20840,21924,22540,23298,23615,23768,24411,24930,25494,29693,31992,32399,32630,33920,35171,37068,38668,39682,40273,40545,42179,43129,44593,45722,46963,47972,48378,49410,51428,52996,54337,57108,57603,58086,59721,63662,65531,67124,69324,69831,70367,73329,77245,79591,81617,84418,85557,86287,89112,91498,95157,97211,101561,103891,104740,109447,112972,126531,131176,136873,139238,141211,146735,151890,158733,168412,173739,175686,177464,189770,194833,200109,205771,212590,215033,216719,223334,229869,237911,243034,247019,248812,250506,257281,264024,267521,271591,276808,278741,280106,287431,292694,309198,314737,319702,321933,323258,330996,335029,339746,343863,348370,350109,351249,353161,359155,363244,366463,371218,372219,373405,378323,382299,385142,387425,391209,395387,396301,399311,401704,404372,405992,408905,411134,411934,415169,417246,419515,421014,423956,425056,425904,430038,431371,433644,435109,437354,438481,439314,441736,444356,446525,448965,453200,453951,454461,457313,457603,459897,461472,463824,464970,465945,469125,471578,473694,475301,477627,478776,479818,483629,485917,488182,490124,492981,494270,495148,499503,502004,503132,506832,509984,511686,513252,518461,521173,524955,528139,532338,534808,536354,544238,548831,554400,554779,560153,563992,568683,578522,585159,592299,598450
Colorado,US,39.113014,-105.358887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,116,498,498,498,498,498,498,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,612,695,695,695,1422,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1722,1722,1722,1722,2072,2072,2118,2179,2179,2227,2263,2319,2319,2371,2404,2425,2488,2488,2529,2569,4196,4261,4284,4368,4450,4560,4870,5044,5078,5243,5420,6477,6824,7027,7027,7027,7635,8137,8650,9035,9570,9793,10119,10435,10826,11205,11205,12173,12571,13038,13285,13754,14270,14270,14270,14715,14715,15134,15639,16095,16510,16510,16510,16943,17206,17630,17630,17630,17630,18054,18054,18054,18054,18054,18054,19389,19910,20090,20090,20090,20090,20728,20728,20988,21285,21667,21960,22437,22631,22716,22992,23184,23526,24015,24499,24773,24960,25157,25422,25717,25968,26201,26350,26518,26680,26830,26974,27148,27341,27448,27609,27745,27972,28200,28486,28648,28838,29004,29189,29449,29755,30071,30297,30580,30773,30971,31284,31601,31860,32114,32307,32494,32893,33330,33735,34397,34797,35114,35435,35864,36333,36888,37500,37944,38298,38717,39208,39846,40457,41123,41931,42473,42690,43439,43914,44316,44913,45371,45820,46069,46494,47085,47526,47975,48406,48741,49113,49513,49825,50282,50594,50894,51231,51424,51679,51946,52264,52615,52911,53170,53368,53823,54015,54358,54785,55053,55233,55428,55773,56013,56278,56642
Connecticut,US,41.599998,-72.699997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,2929,2929,6264,6264,6264,6264,6264,6264,6264,6264,6264,6622,6622,6622,6622,6622,7511,7511,7511,7511,7511,7511,7689,7689,7689,7689,7689,7689,7689,7689,8121,8596,8596,8596,8692,8764,8794,9039,9039,9091,9091,9161,9224,9468,9545,9569,9767,10012,10012,10972,11439,12132,12760,12760,12760,13587,14370,15280,16134,16885,16885,16885,16885,17706,17706,18415,19285,19285,19285,20145,20145,20990,21849,22872,22872,22872,22872,23794,23794,24587,25177,25177,25177,25860,26518,26893,26893,27268,27268,27268,28155,29162,29162,30015,30015,30015,30015,31855,32467,33058,33760,34455,34455,34455,35491,35910,36279,36716,37112,37112,37112,37742,37920,38167,38345,38883,38883,38883,38883,39568,39920,40068,40179,40179,40179,40521,40747,41050,41141,41287,41287,41287,41552,41599,41758,41795,41822,41822,41822,42026,42092,42240,42315,42374,42374,42374,42634,42705,42705,42705,42954,42954,42954,43180,43258,43258,43258,43471,43471,43471,43702,43845,43845,43845,44002,44002,44002,44175,44719,44719,44719,44923,44923,44923,45217,45357,45357,45357,45606,45606,45606,45785,45860,45860,45860,46104,46104,46104,46317,46432,46432,46432,46749,46749,46749,46964,47051,47051,47051,47537,47537,47537,47870,48015,48015,48015
Delaware,US,39,-75.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,9,22,49,49,71,71,71,71,144,159,173,177,191,213,277,319,354,378,423,466,466,495,565,599,643,703,809,911,996,1096,1173,1275,1403,1546,1640,1716,1847,2008,2110,2228,2228,2537,2619,2802,2942,3080,3210,3367,3478,3545,3545,3965,4130,4296,4296,4296,4693,4802,4909,4909,5103,5205,5266,5353,5442,5442,5562,5631,5696,5792,5792,5888,5939,6001,6062,6116,6172,6172,6256,6256,6350,6395,6395,6459,6459,6554,6598,6646,6661,6665,6665,6665,6667,6676,6678,6692,6711,6740,6778,6815,6851,6901,6949,7002,7120,7139,7184,7236,7269,7315,7352,7355,7360,7362,7859,7893,7893,7961,7996,8035,8108,8108,8140,8179,8212,8235,8267,8303,8339,8365,8392,8416,8449,8500,8519,8551,8587,8613,8649,8671,8713,8749,8780,8809,8839,8923,8936,8972,9010,9050,9101,9156,9271,9318,9381,9419,9467,9514,9582,9641,9696,9847,9920,9920,10027,10045,10063,10077,10091,10165,10189,10193,10201,10257,10299,10376,10411,10443,10487,10517,10541,10557,10577,10599,10622,10648,10678,10748,10806,10880,10990,11071,11146,11236,11338,11430,11493,11588,11665,11724,11818,11928,12018,12113,12245,12335,12410,12493,12610,12643,12732,12846,12934,13008,13074,13188,13291,13375,13497,13598,13685,13766,13888,14019,14158,14276,14380,14487,14571,14727,14867,15007,15161,15301,15435,15534,15735,15890,16073,16262,16538,16712,16874,17082,17279,17463,17713,17907,18066
Florida,US,27.994402,-81.760254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,180,180,625,644,644,644,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,1046,1046,1046,7093,7093,7379,7379,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,8514,8662,8662,8662,8662,9248,9890,9890,10173,10173,10173,11053,11723,12534,12534,12917,12917,13787,13787,14745,15065,15690,15985,16551,17160,18190,18994,19517,20239,21159,21651,21651,22334,22334,22886,23918,24809,25656,26290,26926,27706,28404,29425,30190,30907,31554,32070,32650,33290,33760,34219,34840,35148,37410,37929,38440,39217,39584,39951,40720,41255,41866,42477,42895,43659,44254,45148,45890,46631,47445,47900,48375,49545,50278,50943,51671,52146,52608,52953,53305,53305,53675,53305,55479,56854,58122,59366,60519,61457,62495,63817,65451,67285,69893,71836,73548,76268,78829,82404,86157,90136,93607,96516,99690,105123,110002,118871,128422,136918,142126,148125,154588,164586,173999,185403,195447,201744,208950,218784,227522,238769,249014,264346,276975,285981,296000,309931,321288,331498,343976,354291,363513,373146,383311,395603,407672,416967,416967,434895,444225,454124,463065,472661,479758,484473,489767,495056,502618,510262,518668,524920,529037,534714,542749,548871,554957,561288,565051,567728,571542,575480,579858,584390,588631,591611,593850,596400,599484,602631,606325,609480,612068,613943,617619,619819,623218,626296,629844,632398,634226,635948,637831,640285,643824,643824,649316,651008,654055,656287,659384,662473,665958
Georgia,US,33.247875,-83.441162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,88,88,134,134,134,134,134,134,288,288,288,440,451,470,549,632,675,732,793,842,842,909,940,1020,1066,1118,1160,1202,1254,1317,1536,1594,1654,1774,1842,1912,2043,2172,2282,2397,3015,4212,4614,5005,5308,5697,6322,6882,7536,8223,8787,9136,9503,10271,10897,10897,11540,12227,12488,12696,13485,14115,14816,15523,16314,16655,16930,17864,18695,19441,20381,21169,21490,21864,22253,22992,23657,24221,24675,24870,25028,25620,26090,26609,27006,27404,27566,27709,28205,28663,29065,29399,29707,29854,30008,30401,30809,31225,31601,31947,32163,32347,32347,37617,33907,34377,34902,35193,35442,36012,36582,37199,37749,38179,38290,38568,39310,40001,40742,41511,42234,42524,42882,43625,44431,45198,45987,46636,46965,47289,48119,48847,49565,50426,51223,51604,51940,52768,53568,54364,55151,55855,56346,56659,57457,58196,58859,59568,60242,60605,60920,61698,62373,63059,63725,64374,64876,65204,66107,66916,67656,68488,69521,70175,70537,71507,72463,73403,74235,75055,75425,75757,76650,77461,78238,78953,79583,79878,80221,80407,81336,82174,82833,83507,83862,84256,85259,86252,87330,88380,89392,89980,90492,91844,93148,94416,95614,96616,97254,97715,99054,100171,101376,102624,103830,104547,105120,106774,108316,109963,111634,113158,113976,114679,116693,118485,120421,122100,123529,124379,125052,127362,129663,132125,134227,136457,137824,139190,142800,146311,149766,153347,157164,159467,161756,167234,172873,179614,186680,193869,198365,202432,211513,219720,227311,233847,240720,240720,244982,257485,265223,272608,279540,286219,290019
